danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
0.648,0.497,0,-7.411,1,0.0272,0.69,2.47E-06,0.318,0.603,83.003,278640,4,bollywood
0.655,0.593,8,-9.092,1,0.0336,0.538,3.15E-06,0.0877,0.889,92.055,326077,4,bollywood
0.603,0.509,2,-7.905,1,0.422,0.0359,0,0.165,0.18,128.729,178521,4,hip-hop
0.169,0.0147,7,-21.374,1,0.0427,0.972,0.954,0.0948,0.241,78.239,117547,3,classical
0.679,0.863,7,-4.199,1,0.0989,0.000499,0,0.0579,0.913,137.017,169520,5,dance
0.739,0.865,9,-5.938,0,0.369,0.0267,0,0.0638,0.351,98.026,163518,4,hip-hop
0.0661,0.0862,11,-22.116,1,0.0422,0.937,0.859,0.115,0.0374,65.922,613650,3,classical
0.506,0.716,1,-5.561,1,0.322,0.0122,0,0.0474,0.659,80.374,211507,4,hip-hop
0.852,0.567,11,-8.603,1,0.0471,0.121,0.00274,0.0679,0.882,124.015,329240,4,dance
0.621,0.557,0,-8.918,1,0.0235,0.149,0.000662,0.147,0.171,99.015,189840,4,bollywood
0.275,0.695,2,-5.632,1,0.0597,0.157,0.00884,0.101,0.0728,100.005,374853,4,dance
0.516,0.0556,2,-26.4,1,0.0405,0.994,0.873,0.113,0.497,76.246,124587,4,classical
0.392,0.0769,11,-21.279,0,0.0401,0.995,0.889,0.0752,0.105,127.269,530533,5,classical
0.58,0.863,10,-5.362,0,0.318,0.0927,0,0.572,0.788,77.149,256573,4,hip-hop
0.225,0.0145,2,-23.876,1,0.0433,0.901,0.929,0.111,0.125,132.165,30640,3,classical
0.428,0.444,9,-10.573,1,0.0314,0.582,0.00117,0.15,0.505,136.876,285692,4,bollywood
0.545,0.728,8,-5.205,0,0.0357,0.715,2.22E-06,0.158,0.426,149.967,284125,4,bollywood
0.765,0.426,1,-9.834,1,0.335,0.453,4.02E-06,0.0892,0.653,172.115,111700,4,dance
0.605,0.303,9,-10.52,1,0.267,0.0244,0.935,0.109,0.872,174.357,59984,4,hip-hop
0.51,0.898,2,-4.845,1,0.0784,0.000152,0.00148,0.0999,0.712,156.931,245040,4,rock
0.831,0.529,5,-9.283,0,0.0355,0.265,5.68E-05,0.11,0.784,109.945,260019,4,bollywood
0.499,0.308,2,-10.997,1,0.0292,0.536,0.0278,0.162,0.19,70.38,157157,4,bollywood
0.11,0.117,10,-16.408,0,0.0319,0.875,0.679,0.122,0.0372,69.738,321507,3,dance
0.357,0.575,9,-8.102,0,0.0537,0.0195,0.152,0.14,0.365,80.727,194413,4,hip-hop
0.676,0.939,7,-5.736,1,0.164,0.0881,0,0.0911,0.462,86.954,207280,4,hip-hop
